Match,Team A,Team B,Stage,Stadium,Date,Local Time,Timezone
1,Mexico,South Africa,Group A,Mexico City Stadium,2026-06-11,14:00,CT
2,South Korea,UEFA Path D winner,Group A,Guadalajara Stadium,2026-06-11,20:00,CT
3,Canada,UEFA Path A winner,Group B,Toronto Stadium,2026-06-12,15:00,ET
4,USA,Paraguay,Group D,Los Angeles Stadium,2026-06-12,18:00,PT
5,Haiti,Scotland,Group C,Boston Stadium,2026-06-13,21:00,ET
6,Australia,UEFA Path C winner,Group D,BC Place Vancouver,2026-06-13,21:00,PT
7,Brazil,Morocco,Group C,New York/New Jersey Stadium,2026-06-13,18:00,ET
8,Qatar,Switzerland,Group B,San Francisco Bay Area Stadium,2026-06-13,12:00,PT
9,Côte d'Ivoire,Ecuador,Group E,Philadelphia Stadium,2026-06-14,19:00,ET
10,Germany,Curaçao,Group E,Houston Stadium,2026-06-14,12:00,CT
11,Netherlands,Japan,Group F,Dallas Stadium,2026-06-14,15:00,CT
12,UEFA Path B winner,Tunisia,Group F,Monterrey Stadium,2026-06-14,21:00,CT
13,Saudi Arabia,Uruguay,Group H,Miami Stadium,2026-06-15,18:00,ET
14,Spain,Cape Verde,Group H,Atlanta Stadium,2026-06-15,12:00,ET
15,Iran,New Zealand,Group G,Los Angeles Stadium,2026-06-15,18:00,PT
16,Belgium,Egypt,Group G,Seattle Stadium,2026-06-15,12:00,PT
17,France,Senegal,Group I,New York/New Jersey Stadium,2026-06-16,15:00,ET
18,IC Path 2 winner,Norway,Group I,Boston Stadium,2026-06-16,18:00,ET
19,Argentina,Algeria,Group J,Kansas City Stadium,2026-06-16,20:00,CT
20,Austria,Jordan,Group J,San Francisco Bay Area Stadium,2026-06-16,21:00,PT
21,Ghana,Panama,Group L,Toronto Stadium,2026-06-17,19:00,ET
22,England,Croatia,Group L,Dallas Stadium,2026-06-17,15:00,CT
23,Portugal,IC Path 1 winner,Group K,Houston Stadium,2026-06-17,12:00,CT
24,Uzbekistan,Colombia,Group K,Mexico City Stadium,2026-06-17,21:00,CT
25,UEFA Path D winner,South Africa,Group A,Atlanta Stadium,2026-06-18,12:00,ET
26,Switzerland,UEFA Path A winner,Group B,Los Angeles Stadium,2026-06-18,12:00,PT
27,Canada,Qatar,Group B,BC Place Vancouver,2026-06-18,15:00,PT
28,Mexico,South Korea,Group A,Guadalajara Stadium,2026-06-18,20:00,CT
29,Brazil,Haiti,Group C,Philadelphia Stadium,2026-06-19,21:00,ET
30,Scotland,Morocco,Group C,Boston Stadium,2026-06-19,18:00,ET
31,UEFA Path C winner,Paraguay,Group D,San Francisco Bay Area Stadium,2026-06-19,21:00,PT
32,USA,Australia,Group D,Seattle Stadium,2026-06-19,12:00,PT
33,Germany,Côte d'Ivoire,Group E,Toronto Stadium,2026-06-20,16:00,ET
34,Ecuador,Curaçao,Group E,Kansas City Stadium,2026-06-20,19:00,CT
35,Netherlands,UEFA Path B winner,Group F,Houston Stadium,2026-06-20,12:00,CT
36,Tunisia,Japan,Group F,Monterrey Stadium,2026-06-20,23:00,CT
37,Uruguay,Cape Verde,Group H,Miami Stadium,2026-06-21,18:00,ET
38,Spain,Saudi Arabia,Group H,Atlanta Stadium,2026-06-21,12:00,ET
39,Belgium,Iran,Group G,Los Angeles Stadium,2026-06-21,12:00,PT
40,New Zealand,Egypt,Group G,BC Place Vancouver,2026-06-21,18:00,PT
41,Norway,Senegal,Group I,New York/New Jersey Stadium,2026-06-22,20:00,ET
42,France,IC Path 2 winner,Group I,Philadelphia Stadium,2026-06-22,17:00,ET
43,Argentina,Austria,Group J,Dallas Stadium,2026-06-22,12:00,CT
44,Jordan,Algeria,Group J,San Francisco Bay Area Stadium,2026-06-22,20:00,PT
45,England,Ghana,Group L,Boston Stadium,2026-06-23,16:00,ET
46,Panama,Croatia,Group L,Toronto Stadium,2026-06-23,19:00,ET
47,Portugal,Uzbekistan,Group K,Houston Stadium,2026-06-23,12:00,CT
48,Colombia,IC Path 1 winner,Group K,Guadalajara Stadium,2026-06-23,21:00,CT
49,Scotland,Brazil,Group C,Miami Stadium,2026-06-24,18:00,ET
50,Morocco,Haiti,Group C,Atlanta Stadium,2026-06-24,18:00,ET
51,Switzerland,Canada,Group B,BC Place Vancouver,2026-06-24,12:00,PT
52,UEFA Path A winner,Qatar,Group B,Seattle Stadium,2026-06-24,12:00,PT
53,UEFA Path D winner,Mexico,Group A,Mexico City Stadium,2026-06-24,20:00,CT
54,South Africa,South Korea,Group A,Monterrey Stadium,2026-06-24,20:00,CT
55,Curaçao,Côte d'Ivoire,Group E,Philadelphia Stadium,2026-06-25,16:00,ET
56,Ecuador,Germany,Group E,New York/New Jersey Stadium,2026-06-25,16:00,ET
57,Japan,UEFA Path B winner,Group F,Dallas Stadium,2026-06-25,18:00,CT
58,Tunisia,Netherlands,Group F,Kansas City Stadium,2026-06-25,18:00,CT
59,UEFA Path C winner,USA,Group D,Los Angeles Stadium,2026-06-25,19:00,PT
60,Paraguay,Australia,Group D,San Francisco Bay Area Stadium,2026-06-25,19:00,PT
61,Norway,France,Group I,Boston Stadium,2026-06-26,15:00,ET
62,Senegal,IC Path 2 winner,Group I,Toronto Stadium,2026-06-26,15:00,ET
63,Egypt,Iran,Group G,Seattle Stadium,2026-06-26,20:00,PT
